GEOID,COSUB,MassEnviroScore,PollutionBurden100,PopCharacteristics100,NAME,minorityE,minorityPctE,limitEngE,limitEngM,limitEngpctE,limitEngpctM,medHHincE,medHHincM,medHHincMA,medHHincMAPCT,MUNI,medHHincMUNIE,medHHincMUNIM,medHHincMUNIPCT,EJ_CRITERIA,MEDIANHHI,LIMITEDENGLISH,MINORITY_POPULATION,EJ,EJ_CRITERIA_CNT,EJ_CRIT_DESC,LARName,geometry,popMES,popMHI,popLEP,popLAR,DAC
250056322003,Seekonk,34.23264907135875,26.080156402737046,37.59530791788856,"Block Group 3, Census Tract 6322, Bristol County",108,6.146841206602162,0,14,0,2.197802197802198,166518,40283,101341,164.31454199188877,Seekonk,116310,6900,114.77092193682714,,,,,No,0,,None,"list(list(c(-71.319596, -71.318594, -71.31257, -71.306191, -71.300604, -71.297048, -71.294799, -71.293047, -71.316479, -71.314887, -71.31739, -71.31786, -71.317154, -71.319005, -71.319596, 41.811272, 41.8143, 41.815222, 41.814749, 41.813772, 41.812659, 41.811413, 41.784089, 41.795276, 41.797542, 41.799561, 41.802763, 41.805196, 41.808492, 41.811272)))","<b style=""color:white;background-color:#053061;"">MassEnviroScore:</b> ","<b style=""color:white;background-color:#053061;"">Median Household Income:</b> ","<b style=""color:white;background-color:#053061;"">Limited English Households:</b> ","<b style=""color:white;background-color:#053061;"">Tribal Territory:</b> ",No
250056507002,New Bedford,86.74486803519062,65.55229716520039,92.59042033235582,"Block Group 2, Census Tract 6507, Bristol County",911,79.0112749349523,157,107.61040841851684,35.28089887640449,21.723424272665085,29519,12069,101341,29.12838831272634,New Bedford,56025,2573,55.28364630307575,IEM,I,E,M,Yes,3,Low Income and Limited English and Minority,None,"list(list(c(-70.929994, -70.926509, -70.925733, -70.927175, -70.929277, -70.929823, -70.929994, 41.661852, 41.662244, 41.657854, 41.657661, 41.657369, 41.660969, 41.661852)))","<b style=""color:white;background-color:#FF0000;"">MassEnviroScore:</b> ","<b style=""color:white;background-color:#FF0000;"">Median Household Income:</b> ","<b style=""color:white;background-color:#FF0000;"">Limited English Households:</b> ","<b style=""color:white;background-color:#053061;"">Tribal Territory:</b> ",Yes
250056516001,New Bedford,65.5327468230694,47.50733137829912,68.03519061583577,"Block Group 1, Census Tract 6516, Bristol County",630,59.885931558935354,0,14,0,4.022988505747127,84737,10969,101341,83.61571328485016,New Bedford,56025,2573,55.28364630307575,M,,,M,Yes,1,Minority,None,"list(list(c(-70.942519, -70.940981, -70.937769, -70.937279, -70.941954, -70.942519, 41.637294, 41.637473, 41.637827, 41.635185, 41.634649, 41.637294)))","<b style=""color:white;background-color:#053061;"">MassEnviroScore:</b> ","<b style=""color:white;background-color:#053061;"">Median Household Income:</b> ","<b style=""color:white;background-color:#053061;"">Limited English Households:</b> ","<b style=""color:white;background-color:#053061;"">Tribal Territory:</b> ",No
250056515003,New Bedford,67.48778103616814,46.001955034213104,75.11241446725317,"Block Group 3, Census Tract 6515, Bristol County",826,59.6820809248555,73,67.50555532695068,11.145038167938932,9.602330730822283,87685,45101,101341,86.52470372307359,New Bedford,56025,2573,55.28364630307575,M,,,M,Yes,1,Minority,None,"list(list(c(-70.94352, -70.94061, -70.939889, -70.939731, -70.938809, -70.93611, -70.935715, -70.935265, -70.937769, -70.940981, -70.941508, -70.94352, 41.64296, 41.643246, 41.643297, 41.642406, 41.642491, 41.64275, 41.640581, 41.638103, 41.637827, 41.637473, 41.640237, 41.64296)))","<b style=""color:white;background-color:#053061;"">MassEnviroScore:</b> ","<b style=""color:white;background-color:#053061;"">Median Household Income:</b> ","<b style=""color:white;background-color:#053061;"">Limited English Households:</b> ","<b style=""color:white;background-color:#053061;"">Tribal Territory:</b> ",No
250056509003,New Bedford,83.069403714565,58.20136852394917,95.15151515151516,"Block Group 3, Census Tract 6509, Bristol County",1011,68.72875594833447,25,49.36598018878993,5.434782608695652,10.601649844520276,33750,24837,101341,33.303401387395034,New Bedford,56025,2573,55.28364630307575,IM,I,,M,Yes,2,Low Income and Minority,None,"list(list(c(-70.949027, -70.947223, -70.942695, -70.939816, -70.939216, -70.941228, -70.943625, -70.945422, -70.948517, -70.949027, 41.662478, 41.662586, 41.66296, 41.657026, 41.656228, 41.655899, 41.655418, 41.656025, 41.661657, 41.662478)))","<b style=""color:white;background-color:#FF0000;"">MassEnviroScore:</b> ","<b style=""color:white;background-color:#FF0000;"">Median Household Income:</b> ","<b style=""color:white;background-color:#053061;"">Limited English Households:</b> ","<b style=""color:white;background-color:#053061;"">Tribal Territory:</b> ",Yes
250214226003,Weymouth Town,27.409579667644184,39.159335288367544,17.888563049853374,"Block Group 3, Census Tract 4226, Norfolk County",138,11.433305716652859,0,14,0,3.4739454094292808,154653,46198,101341,152.60654621525345,Weymouth,100077,3686,98.75272594507652,,,,,No,0,,None,"list(list(c(-70.94489, -70.94292, -70.93945, -70.936052, -70.930491, -70.931091, -70.92809, -70.93003, -70.93157, -70.93362, -70.93521, -70.93665, -70.93596, -70.93806, -70.943897, -70.94437, -70.94489, 42.23173, 42.23112, 42.23396, 42.235852, 42.2361, 42.231101, 42.2306, 42.22996, 42.22626, 42.22684, 42.2243, 42.22465, 42.22661, 42.22931, 42.229957, 42.23095, 42.23173)))","<b style=""color:white;background-color:#053061;"">MassEnviroScore:</b> ","<b style=""color:white;background-color:#053061;"">Median Household Income:</b> ","<b style=""color:white;background-color:#053061;"">Limited English Households:</b> ","<b style=""color:white;background-color:#053061;"">Tribal Territory:</b> ",No
250092066003,Lynn,91.49560117302052,76.67644183773216,91.76930596285436,"Block Group 3, Census Tract 2066, Essex County",1149,72.90609137055839,84,64.03905058634146,14.457831325301203,10.188387575871868,86224,8967,101341,85.08303648079257,Lynn,74715,3845,73.72632991582874,M,,,M,Yes,1,Minority,None,"list(list(c(-70.932913, -70.926088, -70.924928, -70.926924, -70.927648, -70.9255398112313, -70.9267917206023, -70.928479, -70.929886, -70.932913, 42.465398, 42.466821, 42.467155, 42.465077, 42.464559, 42.4630971027297, 42.4618268086756, 42.462, 42.463542, 42.465398)))","<b style=""color:white;background-color:#FF0000;"">MassEnviroScore:</b> ","<b style=""color:white;background-color:#053061;"">Median Household Income:</b> ","<b style=""color:white;background-color:#053061;"">Limited English Households:</b> ","<b style=""color:white;background-color:#053061;"">Tribal Territory:</b> ",Yes
250092033013,Marblehead,37.22385141739981,29.560117302052788,37.771260997067444,"Block Group 3, Census Tract 2033.01, Essex County",47,12.912087912087914,0,14,0,6.422018348623854,82024,21793,101341,80.93861319702785,Marblehead,165859,18757,163.66426224331713,,,,,No,0,,None,"list(list(c(-70.862673, -70.861139, -70.857514, -70.854835, -70.853928, -70.851579, -70.854192, -70.856563, -70.85802, -70.859696, -70.862487, -70.862673, 42.500677, 42.501834, 42.50228, 42.505118, 42.505328, 42.503344, 42.501777, 42.500784, 42.500787, 42.499281, 42.500592, 42.500677)))","<b style=""color:white;background-color:#053061;"">MassEnviroScore:</b> ","<b style=""color:white;background-color:#053061;"">Median Household Income:</b> ","<b style=""color:white;background-color:#053061;"">Limited English Households:</b> ","<b style=""color:white;background-color:#053061;"">Tribal Territory:</b> ",No
250056422002,Fall River,66.25610948191594,33.822091886608014,98.39687194525905,"Block Group 2, Census Tract 6422, Bristol County",209,27.463863337713533,14,32.07802986469088,3.910614525139665,8.860685842193828,59375,33100,101341,58.58931725560237,Fall River,53933,3116,53.21932880078152,IM,I,,M,Yes,2,Low Income and Minority,None,"list(list(c(-71.141884, -71.138674, -71.136466, -71.129627, -71.131231, -71.134997, -71.135969, -71.139375, -71.141884, 41.725315, 41.728205, 41.732182, 41.730972, 41.729008, 41.727402, 41.726286, 41.726927, 41.725315)))","<b style=""color:white;background-color:#053061;"">MassEnviroScore:</b> ","<b style=""color:white;background-color:#FF0000;"">Median Household Income:</b> ","<b style=""color:white;background-color:#053061;"">Limited English Households:</b> ","<b style=""color:white;background-color:#053061;"">Tribal Territory:</b> ",Yes
250056422003,Fall River,67.62463343108504,35.09286412512219,98.94428152492668,"Block Group 3, Census Tract 6422, Bristol County",130,16.169154228855724,63,93.20944158184835,15.217391304347828,21.960713848814002,74500,26287,101341,73.51417491439793,Fall River,53933,3116,53.21932880078152,,,,,No,0,,None,"list(list(c(-71.144697, -71.141884, -71.139375, -71.135969, -71.13811, -71.139279, -71.142365, -71.143658, -71.145685, -71.144697, 41.72259, 41.725315, 41.726927, 41.726286, 41.723542, 41.723972, 41.719277, 41.720519, 41.72131, 41.72259)))","<b style=""color:white;background-color:#053061;"">MassEnviroScore:</b> ","<b style=""color:white;background-color:#053061;"">Median Household Income:</b> ","<b style=""color:white;background-color:#053061;"">Limited English Households:</b> ","<b style=""color:white;background-color:#053061;"">Tribal Territory:</b> ",No
